data_dte,Year,Month,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,airlineid,carrier,carriergroup,type,Scheduled,Charter,Total
9/1/2005,2005,9,10299,ANC,1,12699,KIX,736,20193,GR,1,Departures,0,11,11
4/1/2003,2003,4,15825,WQM,72,16178,YQX,961,20213,POQ,0,Departures,0,1,1
1/1/2004,2004,1,10821,BWI,35,16149,YOW,936,20421,SLQ,1,Departures,0,3,3
3/1/2010,2010,3,13303,MIA,33,12986,LIM,368,20149,PRQ,1,Departures,0,4,4
1/1/2004,2004,1,11433,DTW,43,14918,SNN,441,20057,EZ,1,Departures,0,1,1
12/1/2004,2004,12,12264,IAD,38,16178,YQX,961,20007,5Y,1,Departures,0,1,1
7/1/2007,2007,7,13303,MIA,33,11654,FDF,252,20402,GL,1,Departures,0,6,6
3/1/2002,2002,3,14869,SLC,87,13594,MZT,148,20016,LGQ,0,Departures,0,8,8
7/1/2006,2006,7,13303,MIA,33,12051,GYE,337,20232,A2,0,Departures,0,15,15
7/1/2007,2007,7,14057,PDX,92,16257,YYC,916,20400,PT,1,Departures,0,10,10
2/1/2008,2008,2,15570,VCV,91,10292,AMS,461,20007,5Y,1,Departures,0,1,1
1/1/2003,2003,1,13303,MIA,33,11082,CNF,316,20156,M3,0,Departures,0,1,1
11/1/2006,2006,11,11996,GSP,37,16217,YUL,941,20207,XP,1,Departures,0,1,1
8/1/2010,2010,8,15295,TOL,44,13618,NBW,219,20405,MRQ,1,Departures,0,1,1
4/1/2006,2006,4,10721,BOS,13,13605,NAS,204,20207,XP,1,Departures,0,2,2
6/1/2008,2008,6,11540,ELP,74,16477,QRO,148,20447,U7,1,Departures,0,1,1
4/1/2004,2004,4,14492,RDU,36,11731,FPO,204,20203,FCQ,1,Departures,0,16,16
4/1/2006,2006,4,14761,SFB,33,13165,MAN,493,20334,BRQ,0,Departures,0,4,4
3/1/2003,2003,3,12217,HSV,51,16178,YQX,961,20007,5Y,1,Departures,0,2,2
4/1/2002,2002,4,11298,DFW,74,12990,LIR,110,20204,MG,1,Departures,0,1,1
7/1/2007,2007,7,12953,LGA,22,16085,YHZ,951,21080,04Q,1,Departures,0,1,1
9/1/2004,2004,9,14960,SPS,74,11032,CUN,148,20368,G4,1,Departures,0,2,2
11/1/2005,2005,11,14814,SHV,72,16271,YYZ,936,20447,U7,1,Departures,0,4,4
10/1/2005,2005,10,11764,FRG,22,15716,WAT,441,20359,TBQ,0,Departures,0,1,1
5/1/2003,2003,5,15016,STL,64,14312,PVR,148,20344,RD,1,Departures,0,18,18
5/1/2005,2005,5,10529,BDL,11,13113,LUX,454,20308,WE,1,Departures,0,21,21
